"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 12:09:08 GMT 2022","Thu Jul 07 12:09:15 GMT 2022","6622","","MainWorkWithDataTest","","MainWorkWithDataTest","savingImageFromBlondeSite","savingImageFromBlondeSite()","Save an image from subpage"
"failed","Thu Jul 07 12:03:36 GMT 2022","Thu Jul 07 12:03:59 GMT 2022","22438","","MainUserManagementTest","","MainUserManagementTest","deleteAccountFromBlondeSite","deleteAccountFromBlondeSite()","Delete account data and check result"
"passed","Thu Jul 07 12:07:12 GMT 2022","Thu Jul 07 12:07:13 GMT 2022","519","","MainWebServiceTest","","MainWebServiceTest","webServiceTestOkAtBlondeSite","repetition 4 of 5","Running a REST test to check the connection with correct URL, if response code is 200, the connection was established"
"passed","Thu Jul 07 12:07:15 GMT 2022","Thu Jul 07 12:07:15 GMT 2022","509","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 4 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 12:05:47 GMT 2022","Thu Jul 07 12:05:53 GMT 2022","5948","","MainUserManagementTest","","MainUserManagementTest","acceptContractOnBlondeSite","acceptContractOnBlondeSite()","Accept the 'Terms and Conditions' popup window"
"passed","Thu Jul 07 12:04:10 GMT 2022","Thu Jul 07 12:05:20 GMT 2022","69358","","MainUserManagementTest","","MainUserManagementTest","loginFromJSONFileToBlondeSite","loginFromJSONFileToBlondeSite()","Login with five users and check result"
"passed","Thu Jul 07 12:07:14 GMT 2022","Thu Jul 07 12:07:15 GMT 2022","484","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 3 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 12:07:14 GMT 2022","Thu Jul 07 12:07:14 GMT 2022","445","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 2 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 12:07:13 GMT 2022","Thu Jul 07 12:07:14 GMT 2022","448","","MainWebServiceTest","","MainWebServiceTest","webServiceTestNotFountAtBlondeSite","repetition 1 of 5","Running a REST test to check the connection with bad URL, if response code is 404, the page not found"
"passed","Thu Jul 07 12:06:48 GMT 2022","Thu Jul 07 12:07:09 GMT 2022","21643","","MainUserManagementTest","","MainUserManagementTest","logoutFromBlondeSite","logoutFromBlondeSite()","Logout from site and check result"
